cbOverwriteData;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 A value in this field is optional. If you are converting a business lead, selecting this check box will overwrite the value for market from the value on the template. Otherwise, if you are changing the customer category, this check box is enabled only when you convert a prospect to a customer. If the check box is selected, the order related data from the template will overwrite the data entered for the prospect.\par
}"
cbTransOrdAddrTemp;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 If this check box is selected it will transfer address related information from the template. This will copy information such as delivery tax, document tax, order address information and supply chain matrix for customer to the customer\rquote s default delivery address from the template. If the customer record does not have any address, the template customer default delivery address will be copied. If the customer record is already having address related data, they will be overwritten. If the customer record does not have default delivery address, but an address ID same as that of the template customer, a new address ID will be generated.\par
}"
labelCompany;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The company on the template customer that the information should be copied from, to the new customer.\par
}"
labelCustomerCategory;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The customer category after the change, i.e., whether a prospect, end customer or a customer. You can select the appropriate value from the list. A value in this field is required.\par
}"
labelCustomerId;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The identity of the customer. If you are converting a business lead, enter the short code or the identification number of the new customer record to be created. If you keep the field empty then the new customer ID will be generated automatically. However, if you are changing the customer category, this field will be read-only.\f0\par
}"
labelCustomerName;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The\f0  name of the customer. \f0 A value in this field is required.\f0\par
}"
labeldfsAssociationNo;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 Enter an association number for the customer. A value in this field is optional.\par
}"
labeldfsCustomerGroup;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Using the List of Values you can connect the customer to a statistical group. The customer statistical groups are used for statistical reports and are entered as basic data in the customer order component.\par
}"
labeldfsTemplateCustomerId;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The ID of the customer that is used as the template for the new customer record. Some information related to Invoice, Payment, Credit Info and Project Report Parameters will be copied from the template customer to the new customer record. Only customers marked as template customers may be selected.\par
}"
labeldfsTemplateCustomerName;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The name of the current template customer. This is a read-only field\f0  and \f0 you cannot modify the\f0  \f0 customer name in this field.\par
}"
labeldfsTemplateDescription;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 Description of the current template customer. This is a read-only field and you cannot modify the template description.\par
}"
labeldfsTextDummy1;UNUSED;""
