cbDefaultDomain;UNUSED;""
cbMasterCompany;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard If this check box is selected, the company has been created as a master company for the Group Consolidation process (i.e. a company where rules for consolidation are defined and the consolidation is processed). Note that it is not possible to select this check box after the company has been created.\f0\par
}"
cbPrintSendersAddress;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 If selected, the senders Default Document Address for the company will be printed above the recipients address in external documents.\par
}"
cbTemplateCompany;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard If this check box is selected, you cannot create vouchers in this company. Instead, you will use it as a template company. Default data is entered into the template, and then the template is used to create other companies.\par
}"
label18;UNUSED;""
labelcmbCountry;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 Select the appropriate country from the drop down list. The country you choose  has no practical meaning in the Enterprise component. It is only dependent on how other installed modules utilize it. The IFS/Accounting Rules component is one example. Some posting types can be governed depending on the choice of country. The available countries are those marked as Used in Application in the \b\i ISO Cod\f0 e Usage\f0 /Country\b0\i0  tab. Contact your System Administrator if a country you want to use is not visible. It is possible to change the country after saving.\par
}"
labelcmbDefaultLanguage;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 In this field you can change the default language for the company. The language you enter for a company has no practical meaning in the IFS/Enterprise component. It is only dependent on how other installed components utilize it. The IFS/Invoice component is one example. The choice of language in the corresponding field in the \b\i Company\b0\i0  windowdetermines the language used in printing an invoice. The languages available to select from depends upon which ones have been selected in the \b\i ISO Code Usage/Language\b0\i0  tab\f0 .\f0 . Contact your system administrator if a language you want to use is not available. If you want, you can edit this field after saving the record.\par
}"
labelcmbIdentifierRefValidation;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Select an identifier reference validation type to validate the identifier reference value given in the \b Identifier Reference\b0  field. \b None\b0  is selected by default. If \b Katakana\b0  is selected then valid Katakana characters must be entered in the \b Identifier Reference\b0  field.\f0\par
}"
labelcmbIdentity;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The ID of the company.\par
}"
labelcmbLocalizationCountryCode;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Specifies in which localization the application should be executed. If localizations are installed, select the country of the localization. By selecting None, you can also execute the core application without localizations. When localizations are not installed,  this field is not editable and None by default.\f0\par
}"
labelcmbPositioning;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Use this field to specify whether the document recipient\rquote s address should be positioned on the right side or the left side of the document. \b Right\b0  is selected by default.\f0\par
}"
labeldfdActivityStartDate;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The date on which the company starts or started the commercial activity in Argentina. The default value is the company creation date. This field is applicable for Argentina only.\par
}"
labeldfdAuthIdExpireDate;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The expiration date of the CAI number specified in the Authorization ID field. This field is applicable for Argentina only.\par
}"
labeldfdCreationDate;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The date on which the record was created. This value is set automatically when the record is created. This field cannot be updated.\f0\par


}"
labeldfName;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The name or description of the company.\par
}"
labeldfsAssociationNo;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The company's association number. This value is optional. For U.S. tax reporting and withholding, this value appears as the taxpayer identification number (TIN) on Forms 1099-MISC and 1099-MISC Laser. For some countries, this field can be validated according to national validation rules by using the \b\i Validation \f0 p\f0 er Company\b0\i0  window. If an error message is received, change the tax number to a correct one, according to the validation rule, or remove the validation item in the \b\i\f0 Validation \f0 p\f0 er Company\b0\i0\f0  window.\par
}"
labeldfsAuthorizationId;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Argentinian CAI number which must be printed on the invoice for commercial activity companies. This field is applicable for Argentina only.\par
}"
labeldfsCorporateForm;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The company's form of business, e.g., corporation or sole proprietorship. Select the form of business from the List of Values.\par
}"
labeldfsCorporateFormDesc;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The description of the specified form of business.\par
}"
labeldfsCreatedBy;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The user ID of the person who created the company. This value is set automatically when the company is created.\par
}"
labeldfsFromCompany;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The source company, if any, from which the current company was originally created.\par
}"
labeldfsFromTemplateId;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The ID of the company template that should be used as the source template.\par
}"
labeldfsIdentifierReference;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 This is a reference to the \f0 customer\f0 . A value in this field is optional. For some payment formats this field is used as a link to the \f0 customer\f0  Identity. The field can be validated according to a validation type, specified in \b Identifier Ref Validation\f0  \b0 field\f0 .\par
}"
labeldfsLogotype;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard Specify the directory in which the file with the document logotype can be found. Enter the entire path, including the file name. If you do not specify a document logotype, the default logotype will be used.\par
}"
