cbDefaultDomain;UNUSED;""
labelamlAddress;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The display of the address.To add an address or edit an existing contents of this field, click the Edit Address icon to the right of the field. The country selected in the Country field determines how the address displays in this field as well as which address fields are available to you in the \b\i Address\b0\i0  edit window. If a State field is available in the address editing window, you can enter the state name or abbreviation directly into this field or select a state code from the List of Values. The State Codes are defined in \b\i States\b0\i0  window.\par
}"
labelcmbAddressId;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 In this field, enter the identity of an address. The length of this identity depends on what has been entered in the \b\i System \f0 LU Values\f0 /Attribute Definition\b0\i0  function. In that function, you can specify the length of the identity up to a maximum of 50 characters. You are allowed to enter more than one address, i.e. several address identities. It is possible to connect each address identity to one or more address types. You cannot change the address identity after saving.\par
}"
labelcmbCountry;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 Select the appropriate country from the drop down list. The country you choose  has no practical meaning in the Enterprise component. It is only dependent on how other installed modules utilize it. The IFS/Accounting Rules component is one example. Some posting types can be governed depending on the choice of country. The available countries are those marked as Used in Application in the \b\i ISO Cod\f0 e Usage\f0 /Country\b0\i0  tab. Contact your System Administrator if a country you want to use is not visible. It is possible to change the country after saving.\par
}"
labeldfdValidFrom;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The date from which this address should be valid. Note that different components within IFS Applications handle the validity interval in different ways, i.e., you may not be prevented from using the address even if the system date is outside the specified interval.\par
}"
labeldfdValidTo;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The date up to which the address is valid. This date controls only the creation of a new record in the system for the supplier.\par
}"
labeldfsAddress1;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The first line of the address.\par
}"
labeldfsAddress2;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The second line of the address. Extra address field.\par
}"
labeldfsAddress3;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard This is an additional text field in which the user can input address information. Entering a value for this field is optional. The way in which the address is printed/displayed depends on the entry for the relevant country in the \b Address Presentation\b0  window. \f0\par
\par
}"
labeldfsAddress4;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard This is an additional text field in which the user can input address information. Entering a value for this field is optional. The way in which the address is printed/displayed depends on the entry for the relevant country in the \b Address Presentation\b0  window.\f0\par
\par
}"
labeldfsAddress5;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard This is an additional text field in which the user can input address information. Entering a value for this field is optional. The way in which the address is printed/displayed depends on the entry for the relevant country in the \b Address Presentation\b0  window.\f0\par
}"
labeldfsAddress6;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard This is an additional text field in which the user can input address information. Entering a value for this field is optional. The way in which the address is printed/displayed depends on the entry for the relevant country in the \b Address Presentation\b0  window.\f0\par
}"
labeldfsCity;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The city part of the address.\par
}"
labeldfsCountryCode;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 In this field you can enter country codes. The countries you can select depend on what countries are defined to be used in the application in the \b\i\f0 I\f0 SO Code \f0 Usage\b0\f0 /\b Country\b0\i0  function within the Application Services component. Contact your System Administrator if you need to use additional countries.\par
}"
labeldfsCounty;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The county within the specified state. This field is automatically populated when you select the country code (which actually is a state-county combination).\par
}"
labeldfsEanLocation;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard This field is used when the supplier participates in EDI communication. The address ID used at supplier can be entered here, and will be used as reference between our address and supplier address when exchanging address information. This can also be used for dispatch, document, or payment address. If EAN location numbers are used, these should be entered in this field. When EDI messages are sent, this field becomes part of the message, and becomes the EDI equivalent of this address. This is normally used only for suppliers and customers. For more information, refer to the documentation for IFS/Customer Order and IFS/Purchasing components.\par
}"
labeldfsState;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard The state used for the address.\par
}"
